experiment,game_index,red_ai,black_ai,winner,plies,red_total_time_s,black_total_time_s,red_avg_time_s,black_avg_time_s,material_diff,start_kind,error
E1: RandomAI vs RandomAI | start=midgame,1,RandomAI,RandomAI,draw,150,0.023274999997738632,0.041155500001877954,0.00031033333330318175,0.0005487400000250394,2,midgame,
E1: RandomAI vs RandomAI | start=midgame,2,RandomAI,RandomAI,draw,150,0.029157899998608627,0.05360050000035699,0.0003887719999814484,0.0007146733333380932,-1,midgame,
E1: RandomAI vs RandomAI | start=midgame,3,RandomAI,RandomAI,draw,150,0.03000880000035977,0.04355599999871629,0.0004001173333381303,0.0005807466666495505,-2,midgame,
E1: RandomAI vs RandomAI | start=midgame,4,RandomAI,RandomAI,draw,150,0.03039360000184388,0.04279510000196751,0.0004052480000245851,0.0005706013333595668,-2,midgame,
E1: RandomAI vs RandomAI | start=midgame,5,RandomAI,RandomAI,draw,150,0.037441000001308566,0.05607870000130788,0.0004992133333507809,0.0007477160000174384,-3,midgame,
E1: RandomAI vs RandomAI | start=midgame,6,RandomAI,RandomAI,draw,150,0.03342650000286085,0.040728399999352405,0.0004456866667048113,0.0005430453333246987,0,midgame,
E1: RandomAI vs RandomAI | start=midgame,7,RandomAI,RandomAI,draw,150,0.023125800002162578,0.04574709999815241,0.00030834400002883436,0.0006099613333086988,-1,midgame,
E1: RandomAI vs RandomAI | start=midgame,8,RandomAI,RandomAI,draw,150,0.023007600002529216,0.04565260000072158,0.0003067680000337229,0.0006087013333429544,-1,midgame,
E1: RandomAI vs RandomAI | start=midgame,9,RandomAI,RandomAI,black,90,0.01576189999741473,0.027535099998203805,0.000350264444386994,0.0006118911110711957,0,midgame,
E1: RandomAI vs RandomAI | start=midgame,10,RandomAI,RandomAI,red,51,0.012396999998600222,0.01956979999977193,0.0004768076922538547,0.0007827919999908772,-1,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,1,MinimaxAI,RandomAI,red,37,6.691924900000231,0.009152200000244193,0.3522065736842227,0.0005084555555691218,5,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,2,RandomAI,MinimaxAI,black,10,0.001627599999665108,3.6193100000000413,0.0003255199999330216,0.7238620000000082,-5,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,3,MinimaxAI,RandomAI,red,33,10.033149600001707,0.009552800000165007,0.5901852705883357,0.0005970500000103129,5,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,4,RandomAI,MinimaxAI,black,8,0.001150900000538968,3.94730680000157,0.000287725000134742,0.9868267000003925,-4,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,5,MinimaxAI,RandomAI,red,55,11.337305000000015,0.01394080000318354,0.4049037500000005,0.0005163259260438348,9,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,6,RandomAI,MinimaxAI,black,14,0.001597800000126881,4.5957163000020955,0.0002282571428752687,0.6565309000002993,-7,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,7,MinimaxAI,RandomAI,red,27,14.824881699998514,0.009346499999992375,1.0589201214284654,0.0007189615384609519,1,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,8,RandomAI,MinimaxAI,black,6,0.0009503999990556622,1.9263018000001466,0.0003167999996852207,0.6421006000000489,-5,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,9,MinimaxAI,RandomAI,red,31,8.451453699998638,0.009589299998879142,0.5282158562499149,0.0006392866665919428,3,midgame,
E2: MinimaxAI(depth=4) vs RandomAI | calib_median=0.769s | start=midgame,10,RandomAI,MinimaxAI,black,18,0.002210300001934229,6.609102200000052,0.0002455888891038032,0.7343446888888947,-7,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,1,MCTSAI,RandomAI,black,124,47.7491390999985,0.02904710000348132,0.7701474048386855,0.0004685016129593761,4,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,2,RandomAI,MCTSAI,black,8,0.001000900000690308,3.0817410999998174,0.000250225000172577,0.7704352749999543,-6,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,3,MCTSAI,RandomAI,black,125,48.512735400001475,0.021379100000558537,0.7700434190476425,0.0003448241935573958,5,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,4,RandomAI,MCTSAI,black,16,0.001634200001717545,6.165857800002414,0.00020427500021469314,0.7707322250003017,-7,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,5,MCTSAI,RandomAI,black,111,52.89802029999919,0.024150799999006267,0.9446075053571283,0.00043910545452738667,5,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,6,RandomAI,MCTSAI,draw,150,0.009233999996467901,499.2168473000029,0.00012311999995290535,6.656224630666705,-4,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,7,MCTSAI,RandomAI,black,75,29.25330760000088,0.01067430000330205,0.7698238842105495,0.0002884945946838392,5,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,8,RandomAI,MCTSAI,draw,150,0.010866099994018441,57.7757271000055,0.00014488133325357922,0.7703430280000733,-4,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,9,MCTSAI,RandomAI,draw,67,26.187725399995543,0.020094800000151736,0.7702272176469277,0.0006089333333379313,5,midgame,
E3: MCTSAI vs RandomAI | tl=0.769s | start=midgame,10,RandomAI,MCTSAI,draw,150,0.009915599995110824,57.75512650000019,0.000132207999934811,0.7700683533333358,-1,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,1,MinimaxAI,MCTSAI,red,41,2.5556378000010227,15.395600900002137,0.1216970380952868,0.7697800450001069,6,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,2,MCTSAI,MinimaxAI,black,16,6.159397199999148,4.969081299999743,0.7699246499998935,0.6211351624999679,-5,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,3,MinimaxAI,MCTSAI,red,39,2.415486800002327,14.626898699999401,0.12077434000011636,0.769836773684179,7,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,4,MCTSAI,MinimaxAI,black,16,6.16005529999984,5.217434200000753,0.77000691249998,0.6521792750000941,-5,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,5,MinimaxAI,MCTSAI,red,41,2.4941359999993438,15.4004989999994,0.1187683809523497,0.77002494999997,7,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,6,MCTSAI,MinimaxAI,black,16,6.158093899999585,5.361879099998987,0.7697617374999481,0.6702348874998734,-5,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,7,MinimaxAI,MCTSAI,red,53,4.461983900001542,20.02988109999842,0.16525866296302005,0.7703800423076316,6,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,8,MCTSAI,MinimaxAI,black,16,6.15861169999971,5.755925700001171,0.7698264624999638,0.7194907125001464,-4,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,9,MinimaxAI,MCTSAI,red,43,2.431265300000632,16.169442000003073,0.11051205909093782,0.7699734285715749,3,midgame,
E4: MinimaxAI(depth=4) vs MCTSAI | tl=0.769s | start=midgame,10,MCTSAI,MinimaxAI,black,16,6.156676999999945,5.871913799998765,0.7695846249999931,0.7339892249998456,-5,midgame,
